name,uuid,power_state,vcpus,memory_gb,vm_age_days,days_since_power_on,power_on_count,last_power_on,unused_score,unused_reasons
PNO-CX-N-E0211,d34d4ff1-49b4-4689-9d27-2d2e558de5ad,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0236,878796f9-1712-4d53-aa9d-3c7d17a62afb,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0263,ce48761a-849e-482d-9cfe-138ad0e434f2,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0274,07e04ec4-7a07-4f3c-b032-0fa8397ae7da,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0008,87897abd-832c-4e72-a708-7f57eab3a6bd,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0289,d2349573-d96a-4f3a-9c3b-d94170d8700c,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0290,a6e55fa9-5bd2-4a5f-a3e1-6894ff89b426,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0286,5747e1e6-cf8f-4bb0-844e-c69325ddc6d5,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0258,dd2b31f3-317d-46ae-99c7-d0ebb514878a,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0093,87185c1b-f448-4b93-9be7-e09ce34f8dfd,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0174,f0430f28-836e-4d67-8744-37aff07a1e38,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
idx25_AD0_SQLMGMT_Win10_Ent-2021-12-08_14-34-20.906 (Citrix App Layering Packaging Machine),6e183ac3-7120-438a-a571-5f6da0fdfbd0,OFF,4,4.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0227,fd739f54-bb77-4e2e-90e0-9adb9635c1dc,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0255,39d1751a-7dd5-4781-954f-261343c03605,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0013,3407d982-58b7-4289-996d-4220193c8f4a,OFF,2,8.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0124,3416aea9-2ba7-4fb2-b5ee-3a2ddecb479d,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0256,03093ea4-9065-4bb5-9854-ed8fe3899760,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0175,5e992811-5c63-4e61-a4ee-37aab54ffcad,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0282,f65ebf4b-a2be-4037-822b-ef325e9db1a3,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0209,9d888043-cc85-4467-8cc6-b6dded464188,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0379,3b006aec-e235-41e9-bc65-0e3eac775265,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0102,af883984-cfbf-4f97-9f60-84f6ba8867ad,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0042,5c9375f6-2a49-42b1-9286-455621f9caa3,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0305,4029a359-c847-41c8-b6f9-8f3888d4fa3b,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
ACO-DC-PRD-PRISMC,74f99157-cde4-4251-830d-e320c9c8730a,OFF,10,46.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0003,05153dfc-eaf4-46e7-910f-c57ec3a2c484,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0304,97b3533e-d9f0-4042-988a-550668c94975,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0278,dedc434d-f709-4db3-9a09-6019a225060d,OFF,4,24.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0260,3df52a05-1cb7-4a6a-9062-8b641e556318,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0285,fcd3f975-ce7a-4203-a5de-d84d10c7bddf,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0055,913f3d5a-1550-466f-8f48-f4e463fccf89,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0396,f60d2c33-437c-4329-b6e7-ffb4d8ce91eb,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0299,f82befa1-99ec-4562-bbaf-19bd314115e9,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0258,ffe07f61-6c3d-4e2e-90fb-d0b2b2f207ea,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0002,ea71838b-9e9b-42d3-a2aa-51356b5edcf6,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0269,c028e8b9-ce01-4e38-a9e2-d78fff2fe180,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0014,10e611b7-38ae-41d9-882e-39bfc8ae52ec,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0285,979e6190-15cc-4198-97d6-22bd20dbe9ca,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0017,7be682db-7135-41aa-b8be-73b8a7dfe9fc,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0203,cb45d447-7615-48d9-8ade-b7aa827eff95,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0031,2fa15e39-ae80-4162-9bbf-7ac4d36dec85,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0249,997c9af8-2e65-4a19-bb1a-c796a6f551cf,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
AppCL,793b0997-0a56-4236-950f-d18c55095883,OFF,4,4.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0313,585366b2-3e1a-40f7-851b-d4124f3816ea,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0344,1a7bf0b5-62e5-4919-ae22-f48ecc3cf20b,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0260,2d859dc5-ebd6-4411-9297-43b738eee769,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0359,348ba18c-afdb-45e4-8d10-3966afed0a09,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0107,77d7dc4b-dd3f-452d-b952-55dd4843e275,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0264,bf658c69-049b-4eca-b896-6ee95b8d44e8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0270,3de88156-4866-4ced-9c00-ebf8822246dd,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0109,eea46b59-cae0-4a21-8233-00fc59a14575,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
idx23_AD0_PowerBI_Win10_Ent-2021-12-08_14-30-31.493 (Citrix App Layering Packaging Machine),a833394a-9db0-4d17-9c8d-f7c77031b9ef,OFF,4,4.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0001,f0ae0588-5483-4299-aefd-e2585c6ea1d8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0035,db3f22a6-dd89-4af7-aa26-586826d17f31,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0118,66d06dc1-4128-4938-91c0-75e226c48ca8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0182,3560cb70-4ae0-4b87-8ef9-0d80c918c0c0,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0221,7c4d9913-5984-4ea6-8c74-75c9e6d98d71,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0007,8a5eb58e-7ff1-4139-b787-562f0fbb21da,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0393,86336c5b-ecf6-4e44-822e-d67287a505fe,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0272,2b3bcd53-198b-4188-9fab-9be66a7837f9,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0132,a5c35c34-e41d-41b5-8e77-8f998dba88f8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0076,c5b1d52f-2e20-4f44-bd8c-648264c79356,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0019,3af2f73d-eb78-4d85-8cb3-a746a99ec4ef,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0045,bd1c56f4-efe0-47f7-ade6-c03ce7ba5d28,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0101,260452f6-f495-4fea-b09d-80e223dfcab9,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0362,f4e78e5a-bf88-4567-9521-d017cabfbba1,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0390,6aa4f51d-cbac-492e-8565-6212b262230f,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
Hardened-Windows 2019 Std 64-bit - Plano,8e467608-aeb0-4a45-9f23-5c55cae9184f,OFF,2,4.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0276,88af1855-b2b9-4aa9-af8d-ffd86d74a2db,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0103,047005d4-6420-4d10-8d52-f65ebd63a681,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0304,e24784d3-594a-424f-9981-f0913358a022,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0248,f5672004-cd69-4e83-aa92-04cf9a01f21e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0003,7c91879a-9092-4dda-bdfd-cf63102414fb,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0254,d79835b0-6bcf-41b8-8a31-921a7552571e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0267,98926c90-bf2f-42bb-9812-42c6104e6165,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0251,0a91db74-61be-4e62-91cc-ab2083f75d03,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0029,c0ae7eb3-dd54-4562-8d0c-b1fe1bd20318,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0032,5dbc998e-79f9-4507-b05d-f8b00ff09858,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0303,d9f97c04-3df7-4255-8ca5-bef8cd954c10,OFF,4,32.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0065,ea7e082c-401a-4590-85f4-7a9ac11eb0a9,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0126,cece60f0-3f4e-411f-9c76-d34ea79829ed,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0309,e3367d7c-57ad-4320-8463-4dc1121d34f5,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0196,52f5442b-8128-47ea-a3fe-3384670c37d4,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0284,4bd72e4b-8204-4c34-b3f0-ddcdadc4be69,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
AppCL2,ba10ac6c-7641-47b4-ba6c-abc5766a92d5,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0389,e1d8bf63-0528-48af-8f36-03fec036f355,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0259,f05e837c-9680-40c0-89a0-2e3f7212b478,OFF,4,24.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0053,439c3b44-a297-4646-bfa4-887eaa4e5eaf,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0216,e0a5a809-afe1-4a2c-9ff6-761e7251399a,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0001,31750d04-6f62-4090-a5b0-e17a64e1613a,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0016,5a657819-e045-46de-9315-ea3a433f1ec5,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0240,a5a97805-e680-48ef-a010-f63537f6846e,OFF,4,24.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0022,ed76a3e1-1942-40cc-b979-e28e4bf48927,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0278,84078f5d-b5b8-4a30-a3db-9856a7029b2c,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0287,26286a13-8f51-4ce5-8e44-cd4ddd43ef0e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0352,60f614a5-6881-4c7e-ab60-fbfc66ad7e39,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
ACO-DC-PRD-CTX-ELM-01,83ee4e77-188d-467c-92bc-1d319f339680,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0280,cdc80e23-d9a2-44d4-8ac8-2393d6c0c05c,OFF,4,24.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0046,e2f07627-1676-4eec-9b0c-eff3ace2fc52,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0225,3f6d8ff8-744e-4628-8382-983302733b0a,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0298,756de9d3-7e31-4b1b-9878-a484f0f2d93b,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0265,3aa24545-37ef-4b90-aaba-1fa60eb7b78b,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0271,508cf264-da80-4547-88b8-eee50cd1a784,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0012,3905ed9b-29b0-4314-804f-b2307c519c2f,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0247,2b311365-5cf2-4aeb-8e24-9357677639bd,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0257,cf94e5f6-e154-4348-856a-c5bf7e0b94c4,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0283,01c5c963-5454-4472-a90e-6bca4fe73b6e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0361,e1ebaede-1840-48df-9a09-0ac0be243735,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0025,3a06638f-2b9c-4ff2-b73a-3942be97829f,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0224,227a99cb-b5c9-43d7-9df2-765d6480aef4,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0228,d5308161-b2f8-46f7-bf9d-16eeb992a389,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0108,e3821d8a-a3d5-428d-9467-17eb6193b728,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0244,4615caf9-4fea-4e2b-9911-d987466a85f9,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0253,ce84d6c2-64ed-4354-8a58-7320de84ddab,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0297,6a59f835-a1db-47e1-a7b3-2021a5981492,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0038,3cf45eee-a789-4324-9c35-2f023b7bfdae,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0371,982dd75f-cad6-4b55-8e77-a20177a6101a,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0088,f67434e4-cf7c-4874-9f9c-5924bd8af01a,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0198,538e6a5b-eef8-4744-a2c3-336db060647d,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0240,f548d625-b15b-49a0-a4ce-1cd05d046fb2,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0249,908b139d-9241-4d98-b472-ad10045cdcb4,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0018,97198b15-2094-4f0a-8d4f-82836d7f74c3,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0288,8fcae906-77fd-4357-8bcb-85bcd1166007,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0020,00d34cb9-650b-4edb-953f-f815fb516d93,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
AppCL-Cloud,f892061d-87eb-4ba0-8a48-c9cb61344aad,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0203,626b215a-70a5-4b35-9641-0062cfff1728,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0034,bf5d8748-b5cc-43b3-af00-2387bf159254,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0268,7a461ff6-a5d2-4d63-a583-3abd6a0361de,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0275,d8ce3266-a4e7-4f6f-8084-19321c4ef0c6,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0273,1e7b9fd6-d3e4-45a2-97a9-8d4106c3fdfc,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0011,727c99b2-f5e3-443b-9f93-db77a115b830,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0105,549f6872-abf4-4030-87f1-97cdd0fc5753,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0052,fd81bcc4-f62b-41f8-a9ee-c7c876c71d64,OFF,4,16.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
Hardened-Windows 2016 Std 64-bit - VM TemplatePlano1,f5525bd9-9ba3-47ab-b443-f383bba17670,OFF,2,4.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0252,c60f4c89-b6c0-407b-b85f-233de5f17f9e,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-0245,4490d08d-b849-45be-b006-853f2c4757b8,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0041,d8743788-7215-4fb0-86fc-81e9ded87936,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0264,b49ec30e-2d3b-4b04-bdcc-11a377f5d343,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0277,57db2e34-fa5d-44e2-bd9c-0ade34108b78,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-P-0279,9bd9bc65-4bed-4794-b226-d4fe7a11152b,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0171,1744fc50-0309-443e-a7de-72f1fde768c0,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
PNO-CX-N-E0197,13c8945e-77a9-4c3a-86c6-53eb1cfa58aa,OFF,4,12.0,,,0,Never/Unknown,70,Currently powered OFF; Never powered on since tracking period
